period,metric,metric_label,anomaly_value,anomaly_baseline,anomaly_deviation,driver_type,account_number,account_name,management_group,management_line,driver_actual,driver_expected,driver_variance,contribution_pct,driver_direction,root_cause_status,explanation_level
2021-02-01,closing_cash,Closing Cash,44231047.42,,,WORKING_CAPITAL_COMPONENT,,Current Liabilities,Working Capital,Current Liabilities,-418669595.63,-105066442.87,-313603152.76,89.64439378193296,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,closing_cash,Closing Cash,44231047.42,,,WORKING_CAPITAL_COMPONENT,,Cash,Working Capital,Cash,44231047.42,26317810.49,17913236.930000003,5.120552045249738,POSITIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,closing_cash,Closing Cash,44231047.42,,,WORKING_CAPITAL_COMPONENT,,Inventory,Working Capital,Inventory,21504129.9,11245957.87,10258172.03,2.932328979625691,POSITIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,closing_cash,Closing Cash,44231047.42,,,WORKING_CAPITAL_COMPONENT,,Receivables,Working Capital,Receivables,67796409.22,75852037.13,-8055627.909999996,2.302725193191611,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,closing_cash,Closing Cash,44231047.42,,,WORKING_CAPITAL_COMPONENT,,Other Current Assets,Working Capital,Other Current Assets,0.0,0.0,0.0,0.0,NEUTRAL,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,free_cash_flow,Free Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Financing Cash Flow,Cash Flow,Financing Cash Flow,-305513825.13,-96138286.18,-209375538.95,62.41515586140572,NEGATIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-02-01,free_cash_flow,Free Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Operating Cash Flow,Cash Flow,Operating Cash Flow,-581118665.5,-459921996.29,-121196669.20999998,36.12890520335246,NEGATIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-02-01,free_cash_flow,Free Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Net Profit,Cash Flow,Net Profit,-282529855.98,-277645817.88,-4884038.100000024,1.4559389352418206,NEGATIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-02-01,free_cash_flow,Free Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Investing Cash Flow,Cash Flow,Investing Cash Flow,0.0,0.0,0.0,0.0,NEUTRAL,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-02-01,net_working_capital,Net Working Capital,552201182.17,,,WORKING_CAPITAL_COMPONENT,,Current Liabilities,Working Capital,Current Liabilities,-418669595.63,-105066442.87,-313603152.76,94.48241501645963,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,net_working_capital,Net Working Capital,552201182.17,,,WORKING_CAPITAL_COMPONENT,,Inventory,Working Capital,Inventory,21504129.9,11245957.87,10258172.03,3.090583938709437,POSITIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,net_working_capital,Net Working Capital,552201182.17,,,WORKING_CAPITAL_COMPONENT,,Receivables,Working Capital,Receivables,67796409.22,75852037.13,-8055627.909999996,2.427001044830934,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,net_working_capital,Net Working Capital,552201182.17,,,WORKING_CAPITAL_COMPONENT,,Other Current Assets,Working Capital,Other Current Assets,0.0,0.0,0.0,0.0,NEUTRAL,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-02-01,operating_cash_flow,Operating Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Financing Cash Flow,Cash Flow,Financing Cash Flow,-305513825.13,-96138286.18,-209375538.95,62.41515586140572,NEGATIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-02-01,operating_cash_flow,Operating Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Operating Cash Flow,Cash Flow,Operating Cash Flow,-581118665.5,-459921996.29,-121196669.20999998,36.12890520335246,NEGATIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-02-01,operating_cash_flow,Operating Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Net Profit,Cash Flow,Net Profit,-282529855.98,-277645817.88,-4884038.100000024,1.4559389352418206,NEGATIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-02-01,operating_cash_flow,Operating Cash Flow,-581118665.5,,,CASH_FLOW_COMPONENT,,Investing Cash Flow,Cash Flow,Investing Cash Flow,0.0,0.0,0.0,0.0,NEUTRAL,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-03-01,closing_cash,Closing Cash,68369894.73,,,WORKING_CAPITAL_COMPONENT,,Current Liabilities,Working Capital,Current Liabilities,-453709780.22,-261868019.25,-191841760.97000003,69.02886153725028,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-03-01,closing_cash,Closing Cash,68369894.73,,,WORKING_CAPITAL_COMPONENT,,Receivables,Working Capital,Receivables,36597876.88,71824223.175,-35226346.294999994,12.675209863409457,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-03-01,closing_cash,Closing Cash,68369894.73,,,WORKING_CAPITAL_COMPONENT,,Cash,Working Capital,Cash,68369894.73,35274428.955,33095465.775000006,11.908472445947442,POSITIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-03-01,closing_cash,Closing Cash,68369894.73,,,WORKING_CAPITAL_COMPONENT,,Inventory,Working Capital,Inventory,34126761.2,16375043.884999998,17751717.315000005,6.387456153392833,POSITIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-03-01,closing_cash,Closing Cash,68369894.73,,,WORKING_CAPITAL_COMPONENT,,Other Current Assets,Working Capital,Other Current Assets,0.0,0.0,0.0,0.0,NEUTRAL,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-03-01,free_cash_flow,Free Cash Flow,-250482799.51,,,CASH_FLOW_COMPONENT,,Operating Cash Flow,Cash Flow,Operating Cash Flow,-250482799.51,-520520330.895,270037531.385,58.06318070108798,POSITIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-03-01,free_cash_flow,Free Cash Flow,-250482799.51,,,CASH_FLOW_COMPONENT,,Financing Cash Flow,Cash Flow,Financing Cash Flow,-27066819.79,-200826055.655,173759235.865,37.36152474349307,POSITIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-03-01,free_cash_flow,Free Cash Flow,-250482799.51,,,CASH_FLOW_COMPONENT,,Net Profit,Cash Flow,Net Profit,-258809270.51,-280087836.93,21278566.420000017,4.575294555418949,POSITIVE,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-03-01,free_cash_flow,Free Cash Flow,-250482799.51,,,CASH_FLOW_COMPONENT,,Investing Cash Flow,Cash Flow,Investing Cash Flow,0.0,0.0,0.0,0.0,NEUTRAL,DRIVER_IDENTIFIED,CASH_FLOW_COMPONENT
2021-03-01,net_working_capital,Net Working Capital,592804313.03,,,WORKING_CAPITAL_COMPONENT,,Current Liabilities,Working Capital,Current Liabilities,-453709780.22,-261868019.25,-191841760.97000003,78.36038658189287,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
2021-03-01,net_working_capital,Net Working Capital,592804313.03,,,WORKING_CAPITAL_COMPONENT,,Receivables,Working Capital,Receivables,36597876.88,71824223.175,-35226346.294999994,14.388682107518234,NEGATIVE,DRIVER_IDENTIFIED,WORKING_CAPITAL_COMPONENT
